### CMD: docker exec pw-control-plane sh -lc ctr -n k8s.io images ls || true
### DATE: 2026-02-19T10:02:09+01:00

REF                                                                                                                        TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                                                           LABELS                                                          
registry-1.docker.io/bitnamilegacy/postgresql@sha256:42a8200d35971f931b869ef5252d996e137c6beb4b8f1b6d2181dc7d1b6f62e0      application/vnd.docker.distribution.manifest.list.v2+json sha256:42a8200d35971f931b869ef5252d996e137c6beb4b8f1b6d2181dc7d1b6f62e0 106.3 MiB linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
registry-1.docker.io/bitnamilegacy/redis:latest                                                                            application/vnd.docker.distribution.manifest.list.v2+json sha256:5927ff3702df7106bbb7dcc0f8e3d053d979253c3aecce53f07f40db990f823b 53.2 MiB  linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
registry-1.docker.io/bitnamilegacy/redis@sha256:5927ff3702df7106bbb7dcc0f8e3d053d979253c3aecce53f07f40db990f823b           application/vnd.docker.distribution.manifest.list.v2+json sha256:5927ff3702df7106bbb7dcc0f8e3d053d979253c3aecce53f07f40db990f823b 53.2 MiB  linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
registry.k8s.io/coredns/coredns:v1.13.1                                                                                    application/vnd.docker.distribution.manifest.list.v2+json sha256:9b9128672209474da07c91439bf15ed704ae05ad918dd6454e5b6ae14e35fee6 22.5 MiB  linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/riscv64,linux/s390x                                        io.cri-containerd.image=managed                                 
registry.k8s.io/etcd:3.6.6-0                                                                                               application/vnd.oci.image.index.v1+json                   sha256:60a30b5d81b2217555e2cfb9537f655b7ba97220b99c39ee2e162a7127225890 22.5 MiB  linux/amd64,linux/arm64,linux/ppc64le,linux/s390x                                                                   io.cri-containerd.image=managed                                 
registry.k8s.io/ingress-nginx/controller@sha256:82917be97c0939f6ada1717bb39aa7e66c229d6cfb10dcfc8f1bd42f9efe0f81           application/vnd.oci.image.index.v1+json                   sha256:82917be97c0939f6ada1717bb39aa7e66c229d6cfb10dcfc8f1bd42f9efe0f81 112.8 MiB linux/amd64,linux/arm/v7,linux/arm64                                                                                io.cri-containerd.image=managed                                 
registry.k8s.io/ingress-nginx/kube-webhook-certgen@sha256:7c74a715af2c94cb734785b4d3ea1357b4f02b88e1e123c622a9cb68b62f669c application/vnd.oci.image.index.v1+json                   sha256:7c74a715af2c94cb734785b4d3ea1357b4f02b88e1e123c622a9cb68b62f669c 16.9 MiB  linux/amd64,linux/arm/v7,linux/arm64                                                                                io.cri-containerd.image=managed                                 
registry.k8s.io/kube-apiserver-amd64:v1.35.0                                                                               application/vnd.docker.distribution.manifest.v2+json      sha256:ea2d568b1c75fa9cde4f7a28d00dafb025b2fa79090500d7ebd84b5712ccd667 86.6 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
registry.k8s.io/kube-apiserver:v1.35.0                                                                                     application/vnd.docker.distribution.manifest.v2+json      sha256:ea2d568b1c75fa9cde4f7a28d00dafb025b2fa79090500d7ebd84b5712ccd667 86.6 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
registry.k8s.io/kube-controller-manager-amd64:v1.35.0                                                                      application/vnd.docker.distribution.manifest.v2+json      sha256:f5a790502a7130fbd28a3d5f3587f7082120b49ed3651cb562541a915149f0f4 73.3 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
registry.k8s.io/kube-controller-manager:v1.35.0                                                                            application/vnd.docker.distribution.manifest.v2+json      sha256:f5a790502a7130fbd28a3d5f3587f7082120b49ed3651cb562541a915149f0f4 73.3 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
registry.k8s.io/kube-proxy-amd64:v1.35.0                                                                                   application/vnd.docker.distribution.manifest.v2+json      sha256:ed7a9d207872385e9d5db98c75b1e543f1099fc1b82e5eedc4449e54dd18bbf8 68.6 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
registry.k8s.io/kube-proxy:v1.35.0                                                                                         application/vnd.docker.distribution.manifest.v2+json      sha256:ed7a9d207872385e9d5db98c75b1e543f1099fc1b82e5eedc4449e54dd18bbf8 68.6 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
registry.k8s.io/kube-scheduler-amd64:v1.35.0                                                                               application/vnd.docker.distribution.manifest.v2+json      sha256:9765e47d4d1603556b2bc8ef432ef886a939d64af57cb45cf23a9fe57ad5c013 50.3 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
registry.k8s.io/kube-scheduler:v1.35.0                                                                                     application/vnd.docker.distribution.manifest.v2+json      sha256:9765e47d4d1603556b2bc8ef432ef886a939d64af57cb45cf23a9fe57ad5c013 50.3 MiB  linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
registry.k8s.io/pause:3.10                                                                                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:ee6521f290b2168b6e0935a181d4cff9be1ac3f505666ef0e3c98fae8199917a 312.9 KiB linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/s390x,windows/amd64                                        io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
sha256:06ab006d73e01df736b5d9fdcbe428dee0e583188c64d9b4b23a9dc1449e81e6                                                    application/vnd.oci.image.manifest.v1+json                sha256:6b5a1fe7f25362c19c9f688a16420f6356ef666bbb9e6031f28d66d1956dd7e8 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
sha256:09be8cea450fc0dd95f756540d9ec2e431542f3c13d0c25d58f74851805a290b                                                    application/vnd.oci.image.manifest.v1+json                sha256:e31969efbc288c31c456fa3fd4117b2aaed779df377c11348e0499f4874a1b75 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
sha256:0a108f7189562e99793bdecab61fdf1a7c9d913af3385de9da17fb9d6ff430e2                                                    application/vnd.oci.image.index.v1+json                   sha256:60a30b5d81b2217555e2cfb9537f655b7ba97220b99c39ee2e162a7127225890 22.5 MiB  linux/amd64,linux/arm64,linux/ppc64le,linux/s390x                                                                   io.cri-containerd.image=managed                                 
